date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:42:34	345/345	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2024%20Nov%202019%2019:42:31%20GMT	http://jaykakadiya.com.s3-website-us-east-1.amazonaws.com/robots.txt		(from )
14:42:34	38966/38966	---M--	200	added ('OK')	text/html	etag:%221d6a7eea4e94031b4fae4c699f3617ff%22	http://jaykakadiya.com.s3-website-us-east-1.amazonaws.com/	E:/http___jaykakadiya.com.s3-website-us-east-1.amazonaws.com/jaykakadiya.com.s3-website-us-east-1.amazonaws.com/index.html	(from )
14:42:35	140936/140936	---M--	200	added ('OK')	text/css	etag:%2204aca1f4cd3ec3c05a75a879f3be75a3%22	http://jaykakadiya.com.s3-website-us-east-1.amazonaws.com/css/plugins/bootstrap.min.css	E:/http___jaykakadiya.com.s3-website-us-east-1.amazonaws.com/jaykakadiya.com.s3-website-us-east-1.amazonaws.com/css/plugins/bootstrap.min.css	(from http://jaykakadiya.com.s3-website-us-east-1.amazonaws.com/)
14:42:36	68254/68254	---M--	200	added ('OK')	text/css	etag:%2251fd279188113160807b3cb5f23bb3f4%22	http://jaykakadiya.com.s3-website-us-east-1.amazonaws.com/css/plugins/font-awesome.css	E:/http___jaykakadiya.com.s3-website-us-east-1.amazonaws.com/jaykakadiya.com.s3-website-us-east-1.amazonaws.com/css/plugins/font-awesome.css	(from http://jaykakadiya.com.s3-website-us-east-1.amazonaws.com/)
14:42:38	8197/8197	---M--	200	added ('OK')	text/css	etag:%220585253bd6f55b83accca3746449ee09%22	http://jaykakadiya.com.s3-website-us-east-1.amazonaws.com/css/plugins/magnific-popup.css	E:/http___jaykakadiya.com.s3-website-us-east-1.amazonaws.com/jaykakadiya.com.s3-website-us-east-1.amazonaws.com/css/plugins/magnific-popup.css	(from http://jaykakadiya.com.s3-website-us-east-1.amazonaws.com/)
14:42:39	3706/3706	---M--	200	added ('OK')	text/css	etag:%22034c9b7168518e68c50242affc599ce2%22	http://jaykakadiya.com.s3-website-us-east-1.amazonaws.com/css/plugins/simplebar.css	E:/http___jaykakadiya.com.s3-website-us-east-1.amazonaws.com/jaykakadiya.com.s3-website-us-east-1.amazonaws.com/css/plugins/simplebar.css	(from http://jaykakadiya.com.s3-website-us-east-1.amazonaws.com/)
14:42:39	3352/3352	---M--	200	added ('OK')	text/css	etag:%22d964cdd4d9e85b8c1185a92bae34b049%22	http://jaykakadiya.com.s3-website-us-east-1.amazonaws.com/css/plugins/owl.carousel.min.css	E:/http___jaykakadiya.com.s3-website-us-east-1.amazonaws.com/jaykakadiya.com.s3-website-us-east-1.amazonaws.com/css/plugins/owl.carousel.min.css	(from http://jaykakadiya.com.s3-website-us-east-1.amazonaws.com/)
14:42:39	1013/1013	---M--	200	added ('OK')	text/css	etag:%22594b81805a98b267e47c70a8fad30d9f%22	http://jaykakadiya.com.s3-website-us-east-1.amazonaws.com/css/plugins/owl.theme.default.min.css	E:/http___jaykakadiya.com.s3-website-us-east-1.amazonaws.com/jaykakadiya.com.s3-website-us-east-1.amazonaws.com/css/plugins/owl.theme.default.min.css	(from http://jaykakadiya.com.s3-website-us-east-1.amazonaws.com/)
14:42:39	28706/28706	---M--	200	added ('OK')	text/css	etag:%229792fe5da5d8188694b7f5024b04adf8%22	http://jaykakadiya.com.s3-website-us-east-1.amazonaws.com/css/plugins/jquery.animatedheadline.css	E:/http___jaykakadiya.com.s3-website-us-east-1.amazonaws.com/jaykakadiya.com.s3-website-us-east-1.amazonaws.com/css/plugins/jquery.animatedheadline.css	(from http://jaykakadiya.com.s3-website-us-east-1.amazonaws.com/)
14:42:40	49643/49643	---M--	200	added ('OK')	text/css	etag:%2200f7e202f0e291d6a2682e924d2a2fba%22	http://jaykakadiya.com.s3-website-us-east-1.amazonaws.com/css/style-dark.css	E:/http___jaykakadiya.com.s3-website-us-east-1.amazonaws.com/jaykakadiya.com.s3-website-us-east-1.amazonaws.com/css/style-dark.css	(from http://jaykakadiya.com.s3-website-us-east-1.amazonaws.com/)
14:42:41	2890/2890	---M--	200	added ('OK')	text/css	etag:%2222ffde5013fd120cb344f87b10de3ba5%22	http://jaykakadiya.com.s3-website-us-east-1.amazonaws.com/css/style-demo.css	E:/http___jaykakadiya.com.s3-website-us-east-1.amazonaws.com/jaykakadiya.com.s3-website-us-east-1.amazonaws.com/css/style-demo.css	(from http://jaykakadiya.com.s3-website-us-east-1.amazonaws.com/)
14:42:42	1473/1473	---M--	200	added ('OK')	text/css	etag:%22fa8b496f31c3afa25a414357633e05e6%22	http://jaykakadiya.com.s3-website-us-east-1.amazonaws.com/css/settings/left-nav.css	E:/http___jaykakadiya.com.s3-website-us-east-1.amazonaws.com/jaykakadiya.com.s3-website-us-east-1.amazonaws.com/css/settings/left-nav.css	(from http://jaykakadiya.com.s3-website-us-east-1.amazonaws.com/)
14:42:42	2795/2795	---M--	200	added ('OK')	text/css	etag:%22d488854dbd232fe56f7ed2d37ad577f4%22	http://jaykakadiya.com.s3-website-us-east-1.amazonaws.com/css/settings/green-color.css	E:/http___jaykakadiya.com.s3-website-us-east-1.amazonaws.com/jaykakadiya.com.s3-website-us-east-1.amazonaws.com/css/settings/green-color.css	(from http://jaykakadiya.com.s3-website-us-east-1.amazonaws.com/)
14:42:46	9571/9571	---M--	200	added ('OK')	image/png	etag:%2298bb613e930454926455d4c59ac59f4a%22	http://jaykakadiya.com.s3-website-us-east-1.amazonaws.com/img/certificate/Python.png	E:/http___jaykakadiya.com.s3-website-us-east-1.amazonaws.com/jaykakadiya.com.s3-website-us-east-1.amazonaws.com/img/certificate/Python.png	(from http://jaykakadiya.com.s3-website-us-east-1.amazonaws.com/)
14:42:51	44449/44449	---M--	200	added ('OK')	image/jpeg	etag:%22c33fd5643d0c99648e4cb0ae960aa7d3%22	http://jaykakadiya.com.s3-website-us-east-1.amazonaws.com/img/testimonials/Angela_choe.jfif	E:/http___jaykakadiya.com.s3-website-us-east-1.amazonaws.com/jaykakadiya.com.s3-website-us-east-1.amazonaws.com/img/testimonials/Angela_choe.jpg	(from http://jaykakadiya.com.s3-website-us-east-1.amazonaws.com/)
14:42:54	18390/18390	---M--	200	added ('OK')	image/jpeg	etag:%22efae8e581a80d74a7bfc0c1a682cfcfe%22	http://jaykakadiya.com.s3-website-us-east-1.amazonaws.com/img/certificate/frontend.jpg	E:/http___jaykakadiya.com.s3-website-us-east-1.amazonaws.com/jaykakadiya.com.s3-website-us-east-1.amazonaws.com/img/certificate/frontend.jpg	(from http://jaykakadiya.com.s3-website-us-east-1.amazonaws.com/)
14:43:40	395535/395535	---M--	200	added ('OK')	image/jpeg	etag:%2222e74383d40495ec5d25cb9be9958100%22	http://jaykakadiya.com.s3-website-us-east-1.amazonaws.com/img/home-bg.jpg	E:/http___jaykakadiya.com.s3-website-us-east-1.amazonaws.com/jaykakadiya.com.s3-website-us-east-1.amazonaws.com/img/home-bg.jpg	(from http://jaykakadiya.com.s3-website-us-east-1.amazonaws.com/)
14:43:42	10789/10789	---M--	200	added ('OK')	image/png	etag:%220717c552124a44ad2737dfa6e7bc2d91%22	http://jaykakadiya.com.s3-website-us-east-1.amazonaws.com/img/certificate/aws.png	E:/http___jaykakadiya.com.s3-website-us-east-1.amazonaws.com/jaykakadiya.com.s3-website-us-east-1.amazonaws.com/img/certificate/aws.png	(from http://jaykakadiya.com.s3-website-us-east-1.amazonaws.com/)
14:45:28	1303023/1303023	---M--	200	added ('OK')	image/jpeg	etag:%22b71801d06aa7ff8003e693cf33fbcebe%22	http://jaykakadiya.com.s3-website-us-east-1.amazonaws.com/img/user-photo.jpg	E:/http___jaykakadiya.com.s3-website-us-east-1.amazonaws.com/jaykakadiya.com.s3-website-us-east-1.amazonaws.com/img/user-photo.jpg	(from http://jaykakadiya.com.s3-website-us-east-1.amazonaws.com/)
14:45:38	55522/55522	---M--	200	added ('OK')	image/jpeg	etag:%22b9178b7ee4c1ed188446540f36103bcd%22	http://jaykakadiya.com.s3-website-us-east-1.amazonaws.com/img/portfolio/img-1.jpg	E:/http___jaykakadiya.com.s3-website-us-east-1.amazonaws.com/jaykakadiya.com.s3-website-us-east-1.amazonaws.com/img/portfolio/img-1.jpg	(from http://jaykakadiya.com.s3-website-us-east-1.amazonaws.com/)
